Hours_Studied,Phone_Usage,Assignments_Completed,Exam_Level,Exam_Anxiety,Exam_Score
7,3.21,3,Medium,No,70.37
4,7.78,3,Medium,Yes,33.98
8,6.94,4,Medium,No,66.57
5,4.75,1,Medium,No,25.99
7,6.9,4,Easy,No,59.92
10,5.45,3,Difficult,No,55.63
3,9.92,1,Difficult,No,18.63
7,1.63,4,Difficult,No,44.59
8,4.65,4,Easy,No,54.48
5,6.84,3,Easy,Yes,40.42
4,8.94,1,Medium,Yes,19.02
8,5.47,3,Medium,No,47.62
8,2.44,1,Medium,No,43.77
3,7.31,5,Difficult,No,25.4
6,5.7,2,Easy,Yes,61.28
5,5.07,2,Difficult,No,16.07
2,10.3,2,Medium,No,17.54
8,3.77,3,Difficult,Yes,48.96
6,11.27,5,Easy,Yes,81.85
2,7.95,1,Medium,No,33.0
5,5.44,4,Medium,No,54.42
1,11.85,1,Easy,Yes,22.37
10,3.75,4,Easy,Yes,74.9
6,10.57,1,Difficult,Yes,17.3
9,6.25,5,Medium,Yes,78.92
1,12.65,4,Easy,No,48.27
10,2.59,3,Medium,No,64.84
3,10.79,1,Medium,Yes,36.36
7,3.78,1,Medium,No,44.59
4,7.37,4,Easy,No,60.33
9,0.04,3,Easy,No,68.19
3,8.54,3,Easy,No,31.16
5,8.93,5,Medium,Yes,76.39
3,8.58,3,Medium,Yes,38.25
7,3.45,3,Easy,No,57.66
5,6.28,3,Difficult,No,46.08
9,4.45,2,Medium,Yes,68.24
7,4.49,5,Easy,No,78.13
2,11.7,1,Easy,No,3.49
4,5.38,4,Easy,Yes,41.63
9,1.26,1,Difficult,No,37.43
2,8.99,5,Medium,No,37.21
10,0.0,4,Medium,No,69.28
9,8.89,5,Medium,Yes,73.29
10,0.0,3,Medium,No,74.36
5,8.83,4,Medium,No,57.94
2,8.67,3,Easy,No,30.98
4,6.97,1,Medium,No,22.74
7,5.6,1,Easy,No,54.75
8,1.08,4,Easy,No,67.08
3,7.67,4,Medium,No,52.37
1,10.71,5,Easy,No,34.31
4,6.31,5,Easy,No,59.14
2,8.36,3,Medium,Yes,44.42
8,6.17,4,Difficult,Yes,33.91
4,10.01,1,Easy,No,20.45
2,9.12,5,Easy,Yes,50.94
6,5.83,5,Medium,No,77.13
6,8.47,1,Difficult,Yes,31.03
10,0.0,5,Medium,No,85.5
4,8.68,3,Medium,No,57.11
6,9.95,4,Medium,No,70.74
2,13.93,1,Easy,Yes,8.31
10,0.0,4,Difficult,No,71.16
2,8.47,5,Difficult,No,40.6
10,2.34,5,Easy,Yes,100.0
4,5.36,1,Easy,No,35.66
8,2.66,3,Difficult,No,51.96
7,4.73,2,Medium,Yes,51.2
9,5.8,1,Medium,No,33.16
8,3.91,2,Medium,Yes,63.69
5,7.43,2,Medium,Yes,45.46
2,11.02,3,Difficult,No,35.12
5,8.09,2,Difficult,Yes,29.56
8,4.06,2,Difficult,No,47.28
10,0.0,3,Medium,No,66.19
9,4.58,2,Difficult,No,39.52
9,3.86,2,Medium,No,52.98
1,8.81,2,Medium,No,0.81
9,1.64,1,Easy,No,61.15
7,6.78,1,Difficult,No,12.25
9,4.21,1,Difficult,Yes,64.32
8,2.56,3,Medium,No,43.36
1,10.46,5,Difficult,No,47.0
8,3.71,2,Medium,Yes,44.92
8,5.23,2,Easy,No,59.61
3,11.5,3,Easy,No,28.48
1,11.13,2,Easy,No,35.74
8,6.34,1,Medium,No,47.44
3,10.75,5,Easy,No,60.74
3,9.41,4,Medium,Yes,43.76
1,8.11,2,Medium,Yes,22.53
5,4.94,1,Medium,No,38.16
10,3.48,4,Medium,No,72.71
7,1.58,5,Medium,Yes,57.2
10,2.24,4,Medium,No,64.98
9,5.0,1,Easy,Yes,52.51
7,5.3,4,Medium,Yes,58.11
9,1.8,3,Medium,Yes,44.54
8,2.31,4,Medium,Yes,73.13
